matchweek,home_team,away_team
78,Ukraine,Finland
78,Switzerland,France
78,Great Britain,Croatia
78,Germany,Spain
78,Belgium,Russia
78,Kazakhstan,Norway
78,Romania,Poland
78,Hungary,Sweden
78,Austria,Japan
78,Canada,Lithuania
78,Estonia,Slovenia
78,Latvia,Netherlands
79,Czech Republic,Denmark
79,South Korea,Slovakia
79,Canada,United States
79,Kazakhstan,Ukraine
79,Estonia,Great Britain
79,Romania,Spain
79,Germany,China
79,Switzerland,Belgium
79,Croatia,Italy
79,Austria,Sweden
79,France,Lithuania
79,Poland,Belarus
79,Hungary,Russia
79,Latvia,Norway
80,Japan,Czech Republic
80,Germany,United States
80,Denmark,Finland
80,Slovakia,South Korea
80,Great Britain,Russia
80,Spain,Latvia
80,Romania,Estonia
80,Croatia,Switzerland
80,China,Sweden
80,Norway,Italy
80,Kazakhstan,Poland
80,France,Austria
80,Netherlands,Lithuania
80,Ukraine,Slovenia
81,South Korea,Czech Republic
81,United States,Norway
81,Latvia,Germany
81,Finland,Ukraine
81,Hungary,Great Britain
81,Slovakia,Belarus
81,Switzerland,Poland
81,Austria,Estonia
81,Sweden,Slovenia
81,China,Japan
81,Canada,Spain
81,Croatia,Lithuania
81,Russia,Italy
81,Denmark,Netherlands
81,Belgium,Romania
82,Latvia,South Korea
82,Russia,United States
82,Belgium,Finland
82,Great Britain,Ukraine
82,Slovakia,Estonia
82,Romania,Belarus
82,Germany,Italy
82,Norway,Sweden
82,Japan,Austria
82,Slovenia,Switzerland
82,Poland,Hungary
82,Kazakhstan,Spain
82,China,Netherlands
83,France,United States
83,Belarus,South Korea
83,Estonia,Romania
83,Slovakia,Austria
83,Latvia,Kazakhstan
83,Japan,Croatia
83,Finland,Sweden
83,Slovenia,Denmark
83,Hungary,Italy
83,Germany,Netherlands
83,Belgium,China
83,Canada,Great Britain
84,Lithuania,South Korea
84,Estonia,Kazakhstan
84,Austria,Slovakia
84,Poland,Romania
84,France,Sweden
84,Norway,Croatia
84,Great Britain,United States
84,Italy,Hungary
84,Latvia,Netherlands
85,Spain,South Korea
85,Hungary,Romania
85,Austria,Czech Republic
85,Canada,Sweden
85,France,Belgium
85,Belarus,Italy
85,Croatia,Latvia
86,South Korea,Russia
86,Sweden,Austria
86,Romania,Slovenia
86,Hungary,Netherlands
86,France,Switzerland
86,Slovakia,Canada
87,Finland,South Korea
88,South Korea,Kazakhstan
